19990802 00:00,1133800,1156300,1124400,1128800,4911000
19990803 00:00,1144200,1144400,1105000,1118300,6403800
19990804 00:00,1121400,1129800,1100200,1100600,6658400
19990805 00:00,1101300,1121300,1075000,1115500,9478800
19990806 00:00,1110600,1131300,1098800,1105000,6137900
19990809 00:00,1110600,1113800,1090200,1091900,4033800
19990810 00:00,1089400,1099400,1058800,1081300,8231100
19990811 00:00,1101900,1120000,1085300,1118100,6496300
19990812 00:00,1122500,1130000,1103800,1105000,6105300
19990813 00:00,1128100,1154400,1126300,1153600,7546200
19990816 00:00,1152500,1166300,1144400,1156900,5652600
19990817 00:00,1172500,1173800,1146900,1168100,5852800
19990818 00:00,1162500,1176900,1150600,1160600,3426300
19990819 00:00,1144400,1152500,1133900,1140600,5003200
19990820 00:00,1142500,1155000,1136300,1154800,3235700
19990823 00:00,1170000,1193100,1167300,1191300,4719400
19990824 00:00,1187500,1271900,1185200,1202500,6837000
19990825 00:00,1211900,1235000,1198800,1231100,5692900
19990826 00:00,1230000,1234400,1208100,1210000,4954800
19990827 00:00,1218600,1218800,1194400,1201900,4702300
19990830 00:00,1202500,1206300,1177500,1179500,4907200
19990831 00:00,1188800,1201300,1162500,1195600,7425600
19990901 00:00,1201300,1212500,1193800,1200000,5194400
19990902 00:00,1180000,1204400,1177500,1196300,7232900
19990903 00:00,1232500,1253100,1228100,1251100,6898000
19990907 00:00,1250600,1263800,1240000,1246900,4395100
19990908 00:00,1240000,1252500,1220600,1227000,6676700
19990909 00:00,1231300,1251300,1223100,1249400,6333700
19990910 00:00,1265000,1274800,1250600,1264400,5028400
19990913 00:00,1261300,1263800,1240600,1242500,3461400
19990914 00:00,1242500,1263000,1240000,1256900,4738700
19990915 00:00,1269800,1269800,1230000,1232500,7703900
19990916 00:00,1229400,1245000,1203900,1233800,7734800
19990917 00:00,1240600,1266900,1238800,1266300,7225900
19990920 00:00,1270000,1275000,1223800,1270600,3285100
19990921 00:00,1258100,1260600,1235200,1238800,6038000
19990922 00:00,1240600,1272500,1225600,1253300,6175500
19990923 00:00,1265000,1267500,1192700,1198800,9566300
19990924 00:00,1192500,1206300,1172500,1202500,12039300
19990927 00:00,1218800,1227500,1207500,1208800,6130400
19990928 00:00,1203900,1220000,1178100,1216900,10516300
19990929 00:00,1215600,1224400,1196300,1196400,7690200
19990930 00:00,1202500,1216300,1187500,1202500,8963000
19991001 00:00,1187500,1203800,1175000,1201900,9798300
19991004 00:00,1210600,1232500,1203800,1232500,5905500
19991005 00:00,1235600,1255000,1213800,1237500,9692000
19991006 00:00,1247500,1266700,1228600,1260300,9816200
19991007 00:00,1271900,1278000,1252500,1263800,10628300
19991008 00:00,1256900,1278800,1240000,1275000,11421500
19991011 00:00,1278800,1298100,1275600,1288100,6798500
19991012 00:00,1288800,1299100,1260000,1265000,10409100
19991013 00:00,1249400,1264400,1221300,1228800,11135000
19991014 00:00,1230600,1242500,1210600,1234200,11078800
19991015 00:00,1202500,1220000,1190200,1199400,15669200
19991018 00:00,1198800,1203100,1148300,1181300,12238000
19991019 00:00,1195200,1210000,1168800,1180000,13276200
19991020 00:00,1206900,1232300,1187500,1231900,10182300
19991021 00:00,1205000,1242500,1196300,1239400,10852900
19991022 00:00,1252300,1265000,1235000,1241300,8120400
19991025 00:00,1233800,1253600,1228800,1240000,6935900
19991026 00:00,1255000,1261900,1230600,1233100,6628800
19991027 00:00,1226900,1232500,1208900,1229800,7492800
19991028 00:00,1247500,1269400,1232500,1268800,6651100
19991029 00:00,1300000,1325000,1295600,1316300,10257800
19991101 00:00,1315000,1330600,1308800,1309400,4754100
19991102 00:00,1315000,1331300,1300000,1310200,6375000
19991103 00:00,1327500,1342500,1321900,1333800,9305600
19991104 00:00,1353600,1356300,1335600,1349400,10234000
19991105 00:00,1377500,1384400,1363800,1377500,7248200
19991108 00:00,1368800,1396100,1316300,1391900,5312300
19991109 00:00,1402500,1405000,1367500,1378100,7191700
19991110 00:00,1382500,1411900,1325600,1395200,8195400
19991111 00:00,1415000,1426900,1402500,1423800,9551700
19991112 00:00,1432500,1445000,1387500,1443800,14104300
19991115 00:00,1445000,1458800,1433800,1439400,5314500
19991116 00:00,1446300,1481900,1437500,1481300,9597900
