AAPL R735QTJ8XC9X,AAPL,372.69,26145379,9744121299,False,0.9949942,0.25
AIG R735QTJ8XC9X,AIG,29.17,7381739,215325326,False,0.9744891,1
BNO UN3IMQ2JU1YD,BNO,11.17,681405,7611293,False,1,1
EEM SNQLASP67O85,EEM,42.42,33302318,1412684329,False,0.9897694,1
FB V6OIPNZEM8V9,FB,240.86,26933923,6487304693,False,1,1
GOOCV VP83T1ZUHROL,GOOG,1485.18,1409810,2093821615,False,1,1
GOOG T1AZ164W5VTX,GOOGL,1489.92,1990651,2965910737,False,1,1
IBM R735QTJ8XC9X,IBM,117.58,4203438,494240240,False,0.9601371,1
IWM RV0PWMLXVHPH,IWM,140.89,21730395,3061595351,False,0.9912339,1
NB R735QTJ8XC9X,BAC,23.01,53814733,1238277006,False,0.9820533,1
PGM VWWSFBS9ZRS5,PGM,2.16,1169896,2526975,False,1,1
QQQ RIWIV7K5Z9LX,QQQ,256.61,34564264,8869535785,False,0.9954812,1
SPY R735QTJ8XC9X,SPY,313.78,72195898,22653628874,False,0.9885475,1
USO THORT68ZZSYT,USO,28.79,4595538,132305539,False,1,1
UW R735QTJ8XC9X,WM,104.62,1448836,151577222,False,0.9859142,1
