AAPL R735QTJ8XC9X,AAPL,318.03,12758653,4057634413,False,0.8613657,0.0357143
AIG R735QTJ8XC9X,AIG,43,4122071,177249053,False,0.7048563,1
BNO UN3IMQ2JU1YD,BNO,59.58,1550,92349,False,1,0.5
EEM SNQLASP67O85,EEM,48.03,59489060,2857259551,False,0.8150124,1
GOOG T1AZ164W5VTX,GOOG,622.88,2296732,1430588428,False,1,0.5
IBM R735QTJ8XC9X,IBM,146.55,4841762,709560221,False,0.7119594,1
IWM RV0PWMLXVHPH,IWM,73.54,45063638,3313979938,False,0.8599296,1
NB R735QTJ8XC9X,BAC,12.57,169438946,2129847551,False,0.8719683,1
SPY R735QTJ8XC9X,SPY,122.09,192884353,23549250657,False,0.8121829,1
USO THORT68ZZSYT,USO,38.06,14643280,557323236,False,1,8
UW R735QTJ8XC9X,WM,35.09,2840025,99656477,False,0.7393422,1
